Wall time,Step,Value
,74606,0.3072
,74656,0.3066
,74706,0.3057
,74756,0.3033
,74806,0.3021
,74856,0.3008
,74906,0.3008
,74956,0.3004
,75006,0.2991
,75056,0.2986
,75106,0.2989
,75156,0.2979
,75206,0.2962
,75256,0.2965
,75306,0.2948
,75356,0.2962
,75406,0.2954
,75456,0.2961
,75506,0.298
,75556,0.2978
,75606,0.2978
,75656,0.2971
,75706,0.2968
,75756,0.2964
,75806,0.2969
,75856,0.2957
,75906,0.2959
,75956,0.2957
,76006,0.2959
,76056,0.2953
,76106,0.2949
,76156,0.2958
,76206,0.2971
,76256,0.2971
,76306,0.2974
,76356,0.2969
,76406,0.2976
,76456,0.2978
,76506,0.2979
,76556,0.2976
,76606,0.2968
,76656,0.2964
,76706,0.2963
,76756,0.2956
,76806,0.2956
,76856,0.2952
,76906,0.2946
,76956,0.2938
,77006,0.2936
,77056,0.2932
,77106,0.2933
,77156,0.2927
,77206,0.2927
,77256,0.2924
,77306,0.2921
,77356,0.2924
,77406,0.293
,77456,0.2932
,77506,0.2934
,77556,0.2932
,77606,0.2936
,77656,0.2934
,77706,0.2928
,77756,0.2922
,77806,0.2922
,77856,0.2926
,77906,0.2928
,77956,0.2933
,78006,0.2931
,78056,0.2935
,78106,0.2934
,78156,0.2934
