Step,Value
66058,0.1264
66108,0.127
66158,0.1262
66208,0.1257
66258,0.1253
66308,0.1246
66358,0.124
66408,0.1235
66458,0.123
66508,0.1234
66558,0.123
66608,0.1222
66658,0.1221
66708,0.1221
66758,0.1218
66808,0.122
66858,0.122
66908,0.1217
66958,0.1215
67008,0.1217
67058,0.1222
67108,0.1219
67158,0.1224
67208,0.1223
67258,0.1226
67308,0.1224
67358,0.1221
67408,0.1224
67458,0.1222
67508,0.1224
67558,0.1227
67608,0.1225
67658,0.1225
67708,0.1224
67758,0.1222
67808,0.1219
67858,0.1218
67908,0.1221
67958,0.1221
68008,0.1224
68058,0.1225
68108,0.1224
68158,0.1221
68208,0.1223
68258,0.1221
68308,0.1221
68358,0.122
68408,0.1217
68458,0.1214
68508,0.1211
68558,0.1209
68608,0.1208
68658,0.1214
68708,0.1215
68758,0.1213
68808,0.1212
68858,0.121
68908,0.1212
68958,0.121
69008,0.1209
69058,0.121
69108,0.1207
69158,0.1206
69208,0.1208
69258,0.1209
69308,0.1211
69358,0.1213
69408,0.1213
69458,0.1211
69508,0.1212
69558,0.1212
69608,0.1211
69658,0.1214
69708,0.1214
69758,0.1213
69808,0.1212
69858,0.1212
69908,0.1212
69958,0.121
70008,0.1208
70058,0.1208
70108,0.1207
70158,0.1207
70208,0.1218
70258,0.1219
70308,0.1221
70358,0.1221
70408,0.1221
70458,0.122
70508,0.1222
70547,0.0869
70597,0.1152
70647,0.1121
70697,0.114
70747,0.1107
70797,0.1123
70847,0.1116
70897,0.1126
70947,0.1122
70997,0.1112
71047,0.1133
71097,0.114
71147,0.1144
71197,0.1215
71247,0.1209
71297,0.122
71347,0.122
71397,0.1218
71447,0.1221
71497,0.1222
71547,0.1219
71597,0.1221
71647,0.1243
71697,0.1237
71747,0.1234
71797,0.124
71847,0.1234
71897,0.1251
71947,0.1245
71997,0.1242
72047,0.1248
72097,0.125
72147,0.1248
72197,0.1247
72247,0.1248
72297,0.1245
72347,0.1245
72397,0.124
72447,0.1234
72497,0.1232
72547,0.1231
72597,0.1229
72647,0.1226
72697,0.1225
72747,0.1229
72797,0.1233
72847,0.1232
72897,0.1232
72947,0.1232
72997,0.1233
73047,0.1231
73097,0.1234
73147,0.1243
73197,0.1241
73247,0.1238
73297,0.1237
73347,0.1237
73397,0.1233
73447,0.1233
73497,0.123
73547,0.1231
73597,0.1231
73647,0.1228
73697,0.1226
73747,0.1225
73797,0.1226
73847,0.1225
73897,0.1227
73947,0.1225
73997,0.1224
74047,0.1223
74097,0.1221
74147,0.122
74197,0.1218
74247,0.1218
74297,0.1218
74347,0.1217
74397,0.1214
74447,0.1213
74497,0.1214
74547,0.1214
74597,0.1213
74647,0.1213
74697,0.1211
74747,0.1209
74797,0.1207
74847,0.1205
74897,0.1207
74947,0.121
74997,0.1209
75047,0.1208
75097,0.1207
75147,0.1207
75197,0.1206
75247,0.1206
75297,0.1206
75347,0.1206
75397,0.1207
75447,0.1206
75497,0.1206
75547,0.1206
75586,0.1168
75636,0.1107
75686,0.1063
75736,0.1068
75786,0.1075
75836,0.1093
75886,0.1094
